Gender;Time_pressure;Experiment;Dice_report;Report_time;Within_time;Cheerful;active;active2;happy;loving;worried;tired;tired2;angry;calm;gloomy;bored;sad;tense;angry2;satisfied;pos_mood;neg_mood;filter_$
2.00;0.00;2.00;4.00;11.91;1.00;4.00;3.00;3.00;4.00;3.00;1.00;3.00;3.00;1.00;5.00;1.00;3.00;1.00;1.00;1.00;4.00;3.71;1.67;1
2.00;0.00;2.00;6.00;4.37;1.00;4.00;3.00;4.00;4.00;5.00;2.00;1.00;3.00;1.00;3.00;1.00;1.00;1.00;1.00;1.00;4.00;3.86;1.33;1
1.00;0.00;2.00;6.00;1.96;1.00;4.00;3.00;3.00;4.00;3.00;1.00;2.00;1.00;1.00;4.00;1.00;2.00;1.00;1.00;1.00;4.00;3.57;1.22;1
2.00;0.00;2.00;1.00;8.33;1.00;5.00;5.00;5.00;3.00;3.00;5.00;1.00;1.00;4.00;1.00;3.00;1.00;2.00;5.00;3.00;3.00;3.57;2.78;1
1.00;0.00;2.00;2.00;8.15;1.00;5.00;2.00;4.00;3.00;4.00;4.00;4.00;4.00;2.00;3.00;1.00;2.00;1.00;3.00;2.00;2.00;3.29;2.56;1
2.00;0.00;2.00;5.00;2.19;1.00;5.00;5.00;5.00;4.00;4.00;2.00;2.00;2.00;2.00;4.00;1.00;3.00;1.00;1.00;2.00;3.00;4.29;1.78;1
2.00;0.00;2.00;6.00;2.95;1.00;5.00;5.00;4.00;5.00;5.00;2.00;2.00;2.00;2.00;4.00;1.00;2.00;2.00;2.00;1.00;5.00;4.71;1.78;1
2.00;1.00;2.00;#LEEG!;10.65;0.00;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0
2.00;1.00;2.00;#LEEG!;9.93;0.00;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0
1.00;1.00;2.00;3.00;3.85;1.00;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;1
2.00;1.00;2.00;5.00;5.23;1.00;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;1
2.00;1.00;2.00;5.00;4.30;1.00;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;1
2.00;1.00;2.00;5.00;6.65;1.00;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;1
2.00;1.00;2.00;6.00;3.97;1.00;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;1
1.00;1.00;2.00;4.00;4.91;1.00;1.00;1.00;1.00;3.00;2.00;2.00;4.00;4.00;2.00;3.00;2.00;5.00;3.00;2.00;2.00;3.00;2.00;2.89;1
2.00;1.00;2.00;5.00;5.62;1.00;1.00;1.00;1.00;2.00;2.00;2.00;5.00;5.00;1.00;3.00;1.00;2.00;1.00;1.00;1.00;3.00;1.86;2.11;1
2.00;1.00;2.00;5.00;0.77;1.00;2.00;2.00;2.00;2.00;3.00;2.00;4.00;4.00;1.00;3.00;1.00;1.00;1.00;3.00;1.00;2.00;2.29;2.00;1
